candle_end_time,open,high,low,close,amount,info
2005-12-09,836.71,850.09,834.68,850.02,21810767.54,{}
2005-12-12,850.28,854.45,848.39,852.95,19694116.18,{}
2005-12-13,852.84,853.52,845.67,853.52,18299980.85,{}
2005-12-14,854.16,861.94,849.31,861.94,23856200.60,{}
2005-12-15,862.29,867.26,858.46,858.94,26404414.93,{}
2005-12-16,858.42,865.39,856.55,865.39,20310830.33,{}
2005-12-19,865.41,867.05,862.84,866.13,18333534.46,{}
2005-12-20,866.06,869.29,862.41,869.29,18487883.06,{}
2005-12-21,869.36,871.93,863.63,864.49,18838048.52,{}
2005-12-22,863.89,869.67,862.10,869.67,17031465.30,{}
2005-12-23,870.07,877.78,869.99,877.78,21931339.37,{}
2005-12-26,880.86,886.22,880.86,884.62,27878598.44,{}
2005-12-27,883.40,884.87,879.39,883.25,22850094.81,{}
2005-12-28,883.15,885.03,879.85,885.03,21279133.70,{}
2005-12-29,887.84,897.71,887.84,897.71,31975638.80,{}
2005-12-30,899.84,899.84,888.66,890.07,28808054.86,{}
2006-01-04,891.93,905.06,891.91,905.06,33352656.78,{}
2006-01-05,905.14,919.83,905.14,919.83,44408902.13,{}
2006-01-06,922.18,933.48,917.09,929.68,51317197.62,{}
2006-01-09,931.09,937.94,928.33,937.49,44070618.34,{}
2006-01-10,938.36,941.24,928.59,941.24,40074122.80,{}
2006-01-11,940.91,945.55,931.97,936.55,46266360.17,{}
2006-01-12,935.92,950.13,935.18,950.13,42596896.13,{}
2006-01-13,951.71,955.04,943.02,948.98,43973338.74,{}
2006-01-16,948.41,948.41,933.88,933.99,39484589.32,{}
2006-01-17,932.09,937.22,930.98,935.38,29947846.38,{}
2006-01-18,935.46,954.37,935.46,954.06,38624935.58,{}
2006-01-19,955.76,962.39,950.24,962.39,47578352.47,{}
2006-01-20,962.86,965.36,958.85,964.53,48473354.23,{}
2006-01-23,965.72,968.78,959.53,968.56,44059681.80,{}
2006-01-24,969.65,976.01,965.64,969.51,45346781.21,{}
2006-01-25,969.12,975.52,964.38,974.23,41073196.45,{}
2006-02-06,977.71,996.81,977.58,996.81,44145587.10,{}
2006-02-07,998.47,1002.39,985.30,995.25,58255841.16,{}
2006-02-08,994.02,998.92,988.53,998.92,48008871.19,{}
2006-02-09,998.94,998.94,984.84,986.13,42459442.59,{}
2006-02-10,987.59,997.92,986.10,997.92,40416308.11,{}
2006-02-13,999.60,999.60,987.56,996.96,40051189.33,{}
2006-02-14,997.50,1004.39,995.89,1004.39,35074927.83,{}
2006-02-15,1006.22,1011.77,1003.45,1006.68,44498297.87,{}
2006-02-16,1007.04,1007.04,983.64,983.83,49597220.99,{}
2006-02-17,985.34,989.80,979.09,981.37,39559357.48,{}
2006-02-20,981.34,987.86,979.66,979.86,34283879.57,{}
2006-02-21,979.17,996.03,971.80,996.03,39799189.54,{}
2006-02-22,996.50,1003.23,994.25,995.47,41908191.00,{}
2006-02-23,995.38,997.68,987.02,997.36,34578226.46,{}
2006-02-24,997.90,1005.37,997.90,1005.37,35425273.70,{}
2006-02-27,1009.66,1009.98,1001.47,1003.28,37988821.95,{}
2006-02-28,1002.11,1006.79,990.70,1006.79,34062522.96,{}
2006-03-01,1008.33,1012.29,1004.92,1012.29,35313175.93,{}
2006-03-02,1011.90,1011.90,991.14,994.64,43416120.91,{}
2006-03-03,993.56,998.46,984.85,996.56,36492570.74,{}
2006-03-06,996.94,998.51,991.98,994.07,30034902.24,{}
2006-03-07,993.10,993.10,969.76,970.60,33667190.65,{}
2006-03-08,967.32,969.98,956.54,965.89,29468616.05,{}
2006-03-09,964.04,967.37,959.98,961.36,22758292.46,{}
2006-03-10,962.00,967.37,960.81,964.78,21572273.06,{}
2006-03-13,964.45,973.85,964.45,973.85,21407608.06,{}
2006-03-14,973.12,974.79,967.88,973.84,21801627.96,{}
2006-03-15,973.01,984.15,973.01,984.15,27453562.28,{}
2006-03-16,982.47,985.09,980.82,984.26,27600055.76,{}
2006-03-17,983.67,985.13,978.26,981.33,28735242.17,{}
2006-03-20,981.74,993.95,977.71,993.95,29493954.11,{}
2006-03-21,994.91,1001.73,993.39,997.24,36840688.74,{}
2006-03-22,997.35,1005.59,993.98,1005.59,36230169.97,{}
2006-03-23,1005.67,1010.20,1003.21,1009.36,41518932.15,{}
2006-03-24,1010.22,1011.89,1003.17,1003.33,39489739.82,{}
2006-03-27,1003.37,1011.65,998.21,1011.65,33795770.72,{}
2006-03-28,1012.10,1018.14,1011.35,1017.91,42195805.02,{}
2006-03-29,1020.15,1032.37,1019.26,1024.80,54652120.92,{}
2006-03-30,1025.27,1027.01,1015.77,1015.90,42261786.92,{}
2006-03-31,1015.07,1022.89,1011.26,1022.89,41993776.95,{}
2006-04-03,1023.88,1042.54,1023.88,1042.54,53293468.66,{}
2006-04-04,1044.48,1053.34,1041.12,1053.34,59338687.46,{}
2006-04-05,1054.84,1063.61,1053.06,1063.44,60848800.54,{}
2006-04-06,1066.18,1074.13,1060.80,1067.17,67804929.62,{}
2006-04-07,1067.90,1072.53,1061.56,1072.53,64621570.17,{}
2006-04-10,1075.01,1090.75,1073.24,1090.75,66401651.33,{}
2006-04-11,1094.11,1098.01,1083.84,1095.65,69945507.58,{}
2006-04-12,1095.89,1096.72,1090.47,1092.23,61236761.88,{}
2006-04-13,1092.30,1097.69,1066.00,1066.10,67789193.96,{}
2006-04-14,1063.21,1089.89,1063.21,1089.89,59009177.81,{}
2006-04-17,1090.58,1099.85,1087.75,1096.16,65612961.99,{}
2006-04-18,1098.52,1104.67,1091.53,1101.12,58672717.69,{}
2006-04-19,1104.13,1106.59,1093.84,1106.59,62557085.46,{}
2006-04-20,1107.99,1108.73,1095.83,1101.40,67838438.23,{}
2006-04-21,1100.64,1116.88,1093.29,1113.57,72244337.00,{}
2006-04-24,1119.03,1119.03,1098.02,1105.12,80235212.69,{}
2006-04-25,1101.79,1112.45,1087.92,1106.26,69048608.20,{}
2006-04-26,1106.73,1126.62,1106.73,1120.40,75438677.92,{}
2006-04-27,1122.26,1125.45,1111.68,1122.50,60184942.92,{}
2006-04-28,1100.21,1139.65,1100.21,1138.05,71331969.96,{}
2006-05-08,1144.51,1181.24,1144.51,1181.24,78817181.48,{}
2006-05-09,1189.37,1216.03,1187.14,1216.03,102047044.41,{}
2006-05-10,1222.29,1239.09,1209.20,1233.23,103726226.46,{}
2006-05-11,1236.24,1264.81,1225.90,1226.02,118260410.46,{}
2006-05-12,1226.51,1268.46,1226.51,1268.46,105848264.98,{}
2006-05-15,1284.18,1324.86,1274.54,1324.86,136202024.41,{}
2006-05-16,1335.41,1350.55,1286.17,1294.07,140864033.93,{}
2006-05-17,1295.22,1311.23,1277.89,1304.65,110971030.17,{}
2006-05-18,1294.82,1315.31,1279.60,1306.92,96598283.45,{}
2006-05-19,1310.35,1346.53,1307.48,1342.55,115676187.82,{}
2006-05-22,1344.25,1366.63,1344.25,1354.73,116617355.77,{}
2006-05-23,1352.89,1352.89,1298.53,1298.79,105560173.59,{}
2006-05-24,1305.96,1317.42,1257.45,1286.26,92240970.65,{}
2006-05-25,1282.91,1296.60,1269.77,1292.24,63877254.46,{}
